SNID,SURVEY,REDSHIFT_FINAL,LOG_HOSTMASS
iPTF13S,a,0.05969789940479423,7.97
iPTF13ez,iPTF,0.04508102068398265,10.19
iPTF13ft,iPTF,0.04115483785786232,8.8
iPTF13abc (SN 2013bh),iPTF,0.07486696012879683,10.33
iPTF13ahk,iPTF,0.02826909007831011,11.27
iPTF13anh,iPTF,0.061845918752232255,8.51
iPTF13aro,iPTF,0.08771908464755307,10.75
iPTF13asv (SN 2013cv),iPTF,0.036356551704846425,7.71
iPTF13ayw,iPTF,0.05429786362404087,11.15
iPTF13azs (SN 2013cx),iPTF,0.034336354118688336,9.79
iPTF13bkw,iPTF,0.06482611380437062,10.56
iPTF13crp,iPTF,0.06263169569129054,10.71
iPTF13daw,iPTF,0.07701004272762592,10.82
iPTF13ddg,iPTF,0.08347491516948034,9.71
iPTF13dge,iPTF,0.01666582953197575,10.87
iPTF13dkj,iPTF,0.034817186761916474,10.5
iPTF13dkx,iPTF,0.03374240989077851,9.13
iPTF13duj (SN 2013fw),iPTF,0.016706691133637524,10.99
iPTF13dym,iPTF,0.042174276445606916,9.93
iPTF13dzm,iPTF,0.019237241785448785,10.25
iPTF13ebh,iPTF,0.010839932470882907,11.23
iPTF13efe,iPTF,0.07056995409804472,8.39
iPTF14yw (SN 2014aa),iPTF,0.016978145594309782,10.86
iPTF14yy,iPTF,0.04453067328331522,10.4
iPTF14aje,iPTF,0.027643557330585013,10.96
iPTF14ale,iPTF,0.09970064023425165,11.36
iPTF14apg,iPTF,0.09126447070259519,11.01
iPTF14atg,iPTF,0.020271357193382095,10.88
iPTF14bbr,iPTF,0.06614469267268892,10.85
iPTF14bdn,iPTF,0.01591157439991369,8.37
iPTF14bpo,iPTF,0.07854083507330928,10.77
iPTF14bpz,iPTF,0.12627472436281237,8.48
iPTF14bqg,iPTF,0.03395612440657196,10.84
iPTF14ddi,iPTF,0.08141445639703185,11.16
iPTF14deb,iPTF,0.13892827817569714,11.42
iPTF14eje,iPTF,0.11900803054892062,11.38
iPTF14fpb,iPTF,0.06052323704554302,10.14
iPTF14fww,iPTF,0.100223068320151,10.07
iPTF14gnl,iPTF,0.05253411011427112,10.59
iPTF16abc (SN 2016bln),iPTF,0.023822613976499703,10.85
iPTF16auf (SN 2016ccz),iPTF,0.015345649556000505,9.53
iPTF17lf (SN 2017lf),iPTF,0.012198072040891702,10.5
2004ef,CSP,0.03007,10.74
2004eo,CSP,0.01521,11.16
2004ey,CSP,0.0154,10.06
2004gs,CSP,0.02865,10.63
2005al,CSP,0.0124,10.49
2005am,CSP,0.00914,10.83
2005bo,CSP,0.01439,10.5
2005el,CSP,0.01526,10.84
2005eq,CSP,0.02836,10.56
2005hc,CSP,0.04692,10.6
2005iq,CSP,0.03355,10.54
2005kc,CSP,0.01449,11.06
2005ki,CSP,0.02028,10.8
2005ku,CSP,0.04634,10.04
2005lu,CSP,0.03174,9.86
2005M,CSP,0.02432,8.8
2005na,CSP,0.02723,10.97
2006ax,CSP,0.01797,10.92
2006bh,CSP,0.01075,10.43
2006D,CSP,0.00898,9.76
2006ej,CSP,0.02052,10.63
2006et,CSP,0.02268,10.8
2006gj,CSP,0.02822,10.53
2006hb,CSP,0.01385,10.22
2006hx,CSP,0.04483,10.31
2006is,CSP,0.03295,7.1
2006kf,CSP,0.01942,10.82
2006lu,CSP,0.0546,10.29
2006ob,CSP,0.05949,11.26
2006os,CSP,0.03511,10.81
2006X,CSP,0.00365,9.33
2007af,CSP,0.00556,9.52
2007ai,CSP,0.03274,9.91
2007as,CSP,0.01836,10.36
2007bc,CSP,0.02112,10.73
2007bd,CSP,0.03108,10.82
2007bm,CSP,0.00658,10.27
2007ca,CSP,0.01447,9.69
2007hj,CSP,0.01515,10.45
2007hx,CSP,0.07994,10.55
2007jd,CSP,0.07252,10.13
2007jg,CSP,0.03796,8.1
2007le,CSP,0.00647,9.85
2007nq,CSP,0.04471,11.21
2007on,CSP,0.00499,11.04
2007S,CSP,0.01256,9.98
2007st,CSP,0.02111,10.95
2007ux,CSP,0.03222,10.3
2008ar,CSP,0.02895,10.21
2008bc,CSP,0.0156,10.1
2008bq,CSP,0.0354,10.82
2008bz,CSP,0.06011,10.5
2008C,CSP,0.01755,10.49
2008cc,CSP,0.00944,10.48
2008cf,CSP,0.04476,8.73
2008fl,CSP,0.01995,10.94
2008fp,CSP,0.00652,10.2
2008fr,CSP,0.03837,7.73
2008fu,CSP,0.05264,10.72
2008fw,CSP,0.00863,10.49
2008gg,CSP,0.03112,10.73
2008gl,CSP,0.0332,10.86
2008go,CSP,0.06324,10.94
2008gp,CSP,0.03346,10.73
2008hj,CSP,0.03716,10.4
2008hu,CSP,0.05148,10.99
2008hv,CSP,0.01396,10.55
2008ia,CSP,0.02253,10.77
2008O,CSP,0.03905,11.33
2008R,CSP,0.01541,11.25
2009aa,CSP,0.02868,10.6
2009ab,CSP,0.01031,10.35
2009ad,CSP,0.02869,10.58
2009ag,CSP,0.01019,10.2
2009al,CSP,0.02337,10.72
2009cz,CSP,0.02184,10.75
2009D,CSP,0.02427,10.43
2009ds,CSP,0.02001,10.77
2009I,CSP,0.02764,10.74
2009le,CSP,0.01664,10.84
2009P,CSP,0.02512,9.87
2009Y,CSP,0.00943,10.76
1998bu,CfA,0.00253,-9999.0
2005cf,CfA,0.00693,-9999.0
2005cf,CfA,0.00693,-9999.0
2005na,CfA,0.02723,-9999.0
2005na,CfA,0.02723,-9999.0
2006D,CfA,0.00898,-9999.0
2006D,CfA,0.00898,-9999.0
2006N,CfA,0.01452,-9999.0
2006N,CfA,0.01452,-9999.0
2006ac,CfA,0.02373,-9999.0
2006ac,CfA,0.02373,-9999.0
2006cp,CfA,0.02226,-9999.0
2006cp,CfA,0.02226,-9999.0
2006lf,CfA,0.0121,-9999.0
2006lf,CfA,0.0121,-9999.0
2007co,CfA,0.02745,-9999.0
2007co,CfA,0.02745,-9999.0
2007cq,CfA,0.02523,-9999.0
2007cq,CfA,0.02523,-9999.0
2007qe,CfA,0.02357,-9999.0
2007qe,CfA,0.02357,-9999.0
2008af,CfA,0.03401,-9999.0
2008af,CfA,0.03401,-9999.0
2008gb,CfA,0.03812,-9999.0
2008gb,CfA,0.03812,-9999.0
2008hm,CfA,0.02095,-9999.0
2008hm,CfA,0.02095,-9999.0
2008hs,CfA,0.01886,-9999.0
2008hs,CfA,0.01886,-9999.0
2009al,CfA,0.02337,-9999.0
2009al,CfA,0.02337,-9999.0
2009an,CfA,0.0107,-9999.0
2009an,CfA,0.0107,-9999.0
2009bv,CfA,0.03849,-9999.0
2009bv,CfA,0.03849,-9999.0
2009kk,CfA,0.01219,-9999.0
2009kk,CfA,0.01219,-9999.0
2009kq,CfA,0.01256,-9999.0
2009kq,CfA,0.01256,-9999.0
2010ai,CfA,0.0239,-9999.0
2010ai,CfA,0.0239,-9999.0
2010dw,CfA,0.03922,-9999.0
2010dw,CfA,0.03922,-9999.0